Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
50,CA-2020-100049,04/21/2019,04/22/2019,Standard Class,CG-10049,Customer 49,Consumer,United States,Kentucky City,Kentucky,68243,South,OFF-ENV-10049,Office Supplies,Envelopes,Envelopes Model 459,24.67,3,0.2,3.7
51,CA-2021-100050,03/02/2019,03/04/2019,Same Day,CG-10050,Customer 50,Consumer,United States,Missouri City,Missouri,46668,Central,TEC-MAC-10050,Technology,Machines,Machines Model 633,264.47,2,0.3,7.09
52,CA-2022-100051,01/06/2022,01/08/2022,Standard Class,CG-10051,Customer 51,Consumer,United States,Colorado City,Colorado,29262,West,OFF-PAP-10051,Office Supplies,Paper,Paper Model 147,61.91,4,0.7,-14.02
53,CA-2019-100052,12/19/2020,12/26/2020,Standard Class,CG-10052,Customer 52,Consumer,United States,Oregon City,Oregon,77661,West,TEC-PHO-10052,Technology,Phones,Phones Model 315,3731.31,2,0.2,140.19
54,CA-2020-100053,07/07/2021,07/13/2021,Second Class,CG-10053,Customer 53,Consumer,United States,Minnesota City,Minnesota,48518,Central,FUR-TAB-10053,Furniture,Tables,Tables Model 584,302.2,5,0.3,-54.81
55,CA-2021-100054,06/20/2020,06/21/2020,Standard Class,CG-10054,Customer 54,Corporate,United States,Washington City,Washington,36734,West,TEC-ACC-10054,Technology,Accessories,Accessories Model 327,58.65,2,0.3,-1.8
56,CA-2022-100055,02/29/2020,03/05/2020,Standard Class,CG-10055,Customer 55,Corporate,United States,Florida City,Florida,86090,East,OFF-BIN-10055,Office Supplies,Binders,Binders Model 976,185.18,2,0.2,30.81
57,CA-2019-100056,09/15/2020,09/19/2020,Standard Class,CG-10056,Customer 56,Home Office,United States,North Carolina City,North Carolina,97886,East,FUR-BOO-10056,Furniture,Bookcases,Bookcases Model 745,1000.03,6,0.4,-143.69
58,CA-2020-100057,12/15/2020,12/17/2020,Second Class,CG-10057,Customer 57,Consumer,United States,Alabama City,Alabama,74323,South,OFF-STO-10057,Office Supplies,Storage,Storage Model 886,45.55,2,0.15,6.62
59,CA-2021-100058,05/19/2019,05/26/2019,Second Class,CG-10058,Customer 58,Corporate,United States,Washington City,Washington,69383,West,OFF-BIN-10058,Office Supplies,Binders,Binders Model 109,74.59,3,0.0,16.55
60,CA-2022-100059,09/04/2022,09/09/2022,Standard Class,CG-10059,Customer 59,Corporate,United States,Pennsylvania City,Pennsylvania,36614,East,FUR-FUR-10059,Furniture,Furnishings,Furnishings Model 518,158.33,1,0.15,-9.25
61,CA-2019-100060,01/11/2020,01/14/2020,Standard Class,CG-10060,Customer 60,Home Office,United States,Pennsylvania City,Pennsylvania,18007,East,TEC-COP-10060,Technology,Copiers,Copiers Model 878,2126.02,8,0.6,-312.09
62,CA-2020-100061,11/03/2022,11/09/2022,First Class,CG-10061,Customer 61,Consumer,United States,Missouri City,Missouri,53303,Central,FUR-BOO-10061,Furniture,Bookcases,Bookcases Model 939,927.96,3,0.3,-118.82
63,CA-2021-100062,05/23/2019,05/24/2019,Second Class,CG-10062,Customer 62,Consumer,United States,New York City,New York,46455,East,OFF-STO-10062,Office Supplies,Storage,Storage Model 203,46.86,2,0.7,-9.47
64,CA-2022-100063,11/04/2021,11/11/2021,Standard Class,CG-10063,Customer 63,Consumer,United States,Michigan City,Michigan,61356,Central,TEC-MAC-10063,Technology,Machines,Machines Model 649,2334.67,4,0.0,427.9
65,CA-2019-100064,05/31/2020,06/03/2020,Standard Class,CG-10064,Customer 64,Corporate,United States,Wisconsin City,Wisconsin,81907,Central,OFF-BIN-10064,Office Supplies,Binders,Binders Model 976,145.03,5,0.8,-49.0
66,CA-2020-100065,04/23/2021,04/28/2021,Standard Class,CG-10065,Customer 65,Consumer,United States,Arizona City,Arizona,81315,West,TEC-PHO-10065,Technology,Phones,Phones Model 110,4258.83,5,0.0,938.41
67,CA-2021-100066,12/29/2019,01/02/2020,Standard Class,CG-10066,Customer 66,Consumer,United States,Louisiana City,Louisiana,95451,South,FUR-TAB-10066,Furniture,Tables,Tables Model 455,2032.55,7,0.4,-442.0
68,CA-2022-100067,11/02/2022,11/03/2022,Second Class,CG-10067,Customer 67,Corporate,United States,Tennessee City,Tennessee,57882,South,FUR-TAB-10067,Furniture,Tables,Tables Model 506,582.75,3,0.15,-7.86
69,CA-2019-100068,10/21/2021,10/28/2021,First Class,CG-10068,Customer 68,Consumer,United States,Colorado City,Colorado,66264,West,FUR-FUR-10068,Furniture,Furnishings,Furnishings Model 408,334.47,2,0.8,-165.34
70,CA-2020-100069,06/20/2020,06/22/2020,Standard Class,CG-10069,Customer 69,Corporate,United States,Ohio City,Ohio,46368,East,FUR-BOO-10069,Furniture,Bookcases,Bookcases Model 739,452.12,7,0.0,12.75
71,CA-2021-100070,12/10/2020,12/15/2020,Standard Class,CG-10070,Customer 70,Consumer,United States,California City,California,29097,West,FUR-FUR-10070,Furniture,Furnishings,Furnishings Model 255,2785.87,7,0.15,-254.34
72,CA-2022-100071,12/08/2019,12/12/2019,Standard Class,CG-10071,Customer 71,Consumer,United States,California City,California,51949,West,TEC-PHO-10071,Technology,Phones,Phones Model 314,305.35,3,0.6,-75.25
73,CA-2019-100072,10/13/2019,10/16/2019,Second Class,CG-10072,Customer 72,Corporate,United States,Virginia City,Virginia,16645,East,OFF-STO-10072,Office Supplies,Storage,Storage Model 212,35.54,1,0.0,9.96
74,CA-2020-100073,03/10/2021,03/12/2021,Standard Class,CG-10073,Customer 73,Corporate,United States,Virginia City,Virginia,91974,East,FUR-BOO-10073,Furniture,Bookcases,Bookcases Model 575,134.2,2,0.2,2.7
75,CA-2021-100074,03/18/2020,03/25/2020,Standard Class,CG-10074,Customer 74,Home Office,United States,Minnesota City,Minnesota,49986,Central,OFF-BIN-10074,Office Supplies,Binders,Binders Model 708,48.86,1,0.0,10.49
76,CA-2022-100075,03/24/2021,03/27/2021,Second Class,CG-10075,Customer 75,Corporate,United States,North Carolina City,North Carolina,16150,East,TEC-COP-10075,Technology,Copiers,Copiers Model 429,426.45,8,0.0,61.4
77,CA-2019-100076,11/30/2020,12/02/2020,Standard Class,CG-10076,Customer 76,Consumer,United States,Oregon City,Oregon,25358,West,FUR-BOO-10076,Furniture,Bookcases,Bookcases Model 485,709.96,7,0.3,-51.86
78,CA-2020-100077,06/23/2021,06/25/2021,Second Class,CG-10077,Customer 77,Consumer,United States,North Carolina City,North Carolina,29063,East,TEC-PHO-10077,Technology,Phones,Phones Model 158,693.29,6,0.7,-183.51
79,CA-2021-100078,07/05/2020,07/07/2020,Standard Class,CG-10078,Customer 78,Corporate,United States,Alabama City,Alabama,61693,South,OFF-ENV-10078,Office Supplies,Envelopes,Envelopes Model 103,81.66,4,0.4,-4.63
80,CA-2022-100079,05/08/2019,05/13/2019,First Class,CG-10079,Customer 79,Home Office,United States,Oregon City,Oregon,88411,West,OFF-LAB-10079,Office Supplies,Labels,Labels Model 698,128.61,6,0.1,19.92
81,CA-2019-100080,09/01/2020,09/05/2020,Second Class,CG-10080,Customer 80,Consumer,United States,Colorado City,Colorado,45737,West,FUR-TAB-10080,Furniture,Tables,Tables Model 575,6600.52,4,0.0,471.1
82,CA-2020-100081,11/23/2020,11/27/2020,Standard Class,CG-10081,Customer 81,Consumer,United States,Michigan City,Michigan,21046,Central,OFF-STO-10081,Office Supplies,Storage,Storage Model 843,375.5,5,0.4,-16.89
83,CA-2021-100082,08/05/2022,08/07/2022,Second Class,CG-10082,Customer 82,Consumer,United States,North Carolina City,North Carolina,22112,East,OFF-STO-10082,Office Supplies,Storage,Storage Model 606,61.79,1,0.4,-6.23
84,CA-2022-100083,11/06/2021,11/07/2021,Standard Class,CG-10083,Customer 83,Consumer,United States,New York City,New York,34354,East,OFF-LAB-10083,Office Supplies,Labels,Labels Model 230,68.65,3,0.2,11.16
85,CA-2019-100084,12/03/2021,12/06/2021,Standard Class,CG-10084,Customer 84,Consumer,United States,Washington City,Washington,54623,West,TEC-ACC-10084,Technology,Accessories,Accessories Model 315,339.58,7,0.7,-96.46
86,CA-2020-100085,05/08/2022,05/09/2022,Second Class,CG-10085,Customer 85,Corporate,United States,Wisconsin City,Wisconsin,37935,Central,OFF-LAB-10085,Office Supplies,Labels,Labels Model 877,900.32,7,0.3,59.55
87,CA-2021-100086,12/01/2019,12/06/2019,Standard Class,CG-10086,Customer 86,Home Office,United States,Pennsylvania City,Pennsylvania,16737,East,OFF-STO-10086,Office Supplies,Storage,Storage Model 322,150.32,5,0.4,-6.94
88,CA-2022-100087,03/28/2022,03/31/2022,Standard Class,CG-10087,Customer 87,Home Office,United States,Louisiana City,Louisiana,12983,South,FUR-CHA-10087,Furniture,Chairs,Chairs Model 282,982.97,3,0.4,-178.91
89,CA-2019-100088,11/21/2022,11/23/2022,Second Class,CG-10088,Customer 88,Corporate,United States,Virginia City,Virginia,84038,East,TEC-COP-10088,Technology,Copiers,Copiers Model 838,1822.08,3,0.0,313.67
90,CA-2020-100089,11/28/2021,12/04/2021,First Class,CG-10089,Customer 89,Consumer,United States,Tennessee City,Tennessee,72187,South,TEC-PHO-10089,Technology,Phones,Phones Model 796,291.87,2,0.1,50.02
91,CA-2021-100090,12/06/2019,12/11/2019,Standard Class,CG-10090,Customer 90,Consumer,United States,New York City,New York,42413,East,OFF-STO-10090,Office Supplies,Storage,Storage Model 423,199.56,5,0.2,16.89
92,CA-2022-100091,02/03/2020,02/04/2020,Standard Class,CG-10091,Customer 91,Corporate,United States,Wisconsin City,Wisconsin,47573,Central,FUR-BOO-10091,Furniture,Bookcases,Bookcases Model 906,161.84,2,0.5,-34.46
93,CA-2019-100092,07/17/2020,07/21/2020,Standard Class,CG-10092,Customer 92,Home Office,United States,Tennessee City,Tennessee,74754,South,OFF-LAB-10092,Office Supplies,Labels,Labels Model 592,98.66,2,0.1,17.24
94,CA-2020-100093,02/23/2019,03/02/2019,Same Day,CG-10093,Customer 93,Consumer,United States,California City,California,36172,West,OFF-BIN-10093,Office Supplies,Binders,Binders Model 990,849.52,2,0.0,202.85
95,CA-2021-100094,02/19/2021,02/24/2021,First Class,CG-10094,Customer 94,Corporate,United States,Ohio City,Ohio,27674,East,OFF-ART-10094,Office Supplies,Art,Art Model 716,539.89,3,0.0,157.56
96,CA-2022-100095,06/19/2019,06/20/2019,First Class,CG-10095,Customer 95,Consumer,United States,New York City,New York,35559,East,OFF-ENV-10095,Office Supplies,Envelopes,Envelopes Model 223,100.06,2,0.0,22.93
97,CA-2019-100096,09/01/2022,09/06/2022,Standard Class,CG-10096,Customer 96,Consumer,United States,Pennsylvania City,Pennsylvania,29129,East,OFF-PAP-10096,Office Supplies,Paper,Paper Model 422,325.33,7,0.0,84.98
98,CA-2020-100097,03/16/2022,03/20/2022,First Class,CG-10097,Customer 97,Corporate,United States,New York City,New York,61756,East,OFF-LAB-10097,Office Supplies,Labels,Labels Model 444,309.1,6,0.4,-3.52
99,CA-2021-100098,07/10/2020,07/12/2020,First Class,CG-10098,Customer 98,Consumer,United States,Louisiana City,Louisiana,28787,South,OFF-FAS-10098,Office Supplies,Fasteners,Fasteners Model 357,74.11,3,0.2,8.56
100,CA-2022-100099,02/10/2022,02/11/2022,Second Class,CG-10099,Customer 99,Consumer,United States,Missouri City,Missouri,73852,Central,FUR-FUR-10099,Furniture,Furnishings,Furnishings Model 774,1192.23,4,0.2,-124.0
101,CA-2019-100100,07/25/2020,08/01/2020,Standard Class,CG-10100,Customer 100,Consumer,United States,Washington City,Washington,60192,West,FUR-BOO-10100,Furniture,Bookcases,Bookcases Model 623,811.72,8,0.4,-139.81
102,CA-2020-100101,07/17/2022,07/24/2022,First Class,CG-10101,Customer 101,Corporate,United States,Oregon City,Oregon,37083,West,OFF-PAP-10101,Office Supplies,Paper,Paper Model 106,151.37,8,0.6,-23.45
103,CA-2021-100102,12/24/2022,12/26/2022,Standard Class,CG-10102,Customer 102,Home Office,United States,Oregon City,Oregon,78878,West,OFF-ART-10102,Office Supplies,Art,Art Model 986,109.29,10,0.2,0.22
104,CA-2022-100103,04/28/2021,05/04/2021,Standard Class,CG-10103,Customer 103,Consumer,United States,Wisconsin City,Wisconsin,38602,Central,TEC-MAC-10103,Technology,Machines,Machines Model 183,417.33,1,0.1,46.34
105,CA-2019-100104,03/31/2022,04/05/2022,First Class,CG-10104,Customer 104,Consumer,United States,Pennsylvania City,Pennsylvania,48158,East,TEC-PHO-10104,Technology,Phones,Phones Model 591,703.2,2,0.0,145.98
106,CA-2020-100105,08/13/2020,08/16/2020,Second Class,CG-10105,Customer 105,Home Office,United States,Virginia City,Virginia,15655,East,FUR-BOO-10105,Furniture,Bookcases,Bookcases Model 927,1364.11,6,0.5,-261.68
107,CA-2021-100106,06/13/2022,06/17/2022,Standard Class,CG-10106,Customer 106,Consumer,United States,Oklahoma City,Oklahoma,15109,South,OFF-STO-10106,Office Supplies,Storage,Storage Model 600,77.61,3,0.8,-27.72
108,CA-2022-100107,10/01/2019,10/07/2019,Standard Class,CG-10107,Customer 107,Corporate,United States,California City,California,31804,West,FUR-BOO-10107,Furniture,Bookcases,Bookcases Model 828,2096.09,2,0.4,-418.87
109,CA-2019-100108,02/05/2020,02/09/2020,Standard Class,CG-10108,Customer 108,Corporate,United States,Kentucky City,Kentucky,58787,South,FUR-CHA-10108,Furniture,Chairs,Chairs Model 772,1504.75,9,0.15,-96.06
110,CA-2020-100109,08/11/2020,08/15/2020,Standard Class,CG-10109,Customer 109,Consumer,United States,New York City,New York,78577,East,OFF-PAP-10109,Office Supplies,Paper,Paper Model 205,94.75,2,0.8,-32.13
111,CA-2021-100110,02/12/2021,02/13/2021,Standard Class,CG-10110,Customer 110,Consumer,United States,Oregon City,Oregon,36289,West,OFF-ENV-10110,Office Supplies,Envelopes,Envelopes Model 959,205.49,1,0.2,21.44
112,CA-2022-100111,06/18/2021,06/24/2021,First Class,CG-10111,Customer 111,Consumer,United States,Michigan City,Michigan,46877,Central,TEC-MAC-10111,Technology,Machines,Machines Model 111,8078.61,6,0.3,-343.89
113,CA-2019-100112,10/11/2022,10/16/2022,Same Day,CG-10112,Customer 112,Consumer,United States,Oregon City,Oregon,99899,West,TEC-ACC-10112,Technology,Accessories,Accessories Model 693,854.03,2,0.0,192.3
114,CA-2020-100113,07/12/2021,07/14/2021,Standard Class,CG-10113,Customer 113,Corporate,United States,California City,California,40027,West,OFF-ART-10113,Office Supplies,Art,Art Model 916,55.52,3,0.8,-19.79
115,CA-2021-100114,10/19/2022,10/25/2022,Standard Class,CG-10114,Customer 114,Corporate,United States,Arkansas City,Arkansas,41585,South,OFF-FAS-10114,Office Supplies,Fasteners,Fasteners Model 611,93.72,9,0.1,22.03
116,CA-2022-100115,07/05/2019,07/11/2019,Same Day,CG-10115,Customer 115,Corporate,United States,Pennsylvania City,Pennsylvania,94878,East,TEC-MAC-10115,Technology,Machines,Machines Model 836,253.82,2,0.1,5.99
117,CA-2019-100116,11/30/2019,12/02/2019,Standard Class,CG-10116,Customer 116,Corporate,United States,Washington City,Washington,60677,West,TEC-MAC-10116,Technology,Machines,Machines Model 927,310.87,2,0.7,-70.91
118,CA-2020-100117,03/14/2022,03/17/2022,Standard Class,CG-10117,Customer 117,Corporate,United States,Pennsylvania City,Pennsylvania,23760,East,OFF-FAS-10117,Office Supplies,Fasteners,Fasteners Model 523,217.93,2,0.1,31.21
119,CA-2021-100118,09/21/2020,09/27/2020,First Class,CG-10118,Customer 118,Consumer,United States,Ohio City,Ohio,52240,East,FUR-TAB-10118,Furniture,Tables,Tables Model 232,1467.71,2,0.3,-203.42
120,CA-2022-100119,02/18/2022,02/21/2022,Standard Class,CG-10119,Customer 119,Corporate,United States,Colorado City,Colorado,19847,West,OFF-ART-10119,Office Supplies,Art,Art Model 655,167.33,5,0.0,50.71
121,CA-2019-100120,11/30/2019,12/02/2019,Standard Class,CG-10120,Customer 120,Home Office,United States,Virginia City,Virginia,38404,East,OFF-ENV-10120,Office Supplies,Envelopes,Envelopes Model 158,13.94,1,0.1,2.51
122,CA-2020-100121,05/24/2022,05/27/2022,Same Day,CG-10121,Customer 121,Consumer,United States,Nevada City,Nevada,25398,West,FUR-CHA-10121,Furniture,Chairs,Chairs Model 322,172.25,1,0.3,-16.69
123,CA-2021-100122,11/04/2019,11/06/2019,Standard Class,CG-10122,Customer 122,Corporate,United States,Nevada City,Nevada,47380,West,OFF-STO-10122,Office Supplies,Storage,Storage Model 594,106.07,2,0.15,10.23
